A,X,Y,Z
,0.005966187,-1.236465454,-0.294525146
,-0.122833252,-0.932144165,-0.089523315
,-0.036376953,-0.681808472,0.024383545
,-0.109710693,-0.531341553,0.042648315
,0.109069824,-0.856384277,-0.004455566
,0.304931641,-1.550765991,-0.15826416
,0.177459717,-1.14213562,-0.082809448
,0.2059021,-0.690505981,-0.50378418
,-0.252090454,-1.024642944,-0.207672119
,,,
,-0.076766968,-1.553787231,-0.409637451
,0.00994873,-0.892410278,-0.309082031
,0.005493164,-0.323974609,0.110977173
,0.024307251,-0.855575562,0.038986206
,0.373382568,-1.779815674,-0.319107056
,0.297851563,-1.047561646,-0.356063843
,-0.13343811,-0.794616699,-0.050109863
,,,
,-0.091293335,-1.627670288,-0.642837524
,0.097442627,-0.578720093,-0.092926025
,-0.006668091,-0.503707886,-0.038467407
,-0.172897339,-0.933303833,0.054336548
,-0.003494263,-1.468597412,0.205200195
,0.204284668,-0.988876343,-0.189025879
,-0.23135376,-0.698028564,-0.252685547
,,,
,-0.243392944,-1.115371704,-0.346160889
,-0.343109131,-1.303253174,-0.521224976
,0.00793457,-0.265274048,0.418289185
,-0.11680603,-0.344940186,-0.046478271
,0.012359619,-1.345947266,-0.320541382
,0.315948486,-1.465194702,-0.669433594
,-0.197143555,-0.670089722,-0.300811768
,,,
,-0.022628784,-1.718460083,-0.340270996
,-0.020095825,-0.72958374,-0.175704956
,-0.024383545,-0.210006714,0.001800537
,0.190185547,-1.217834473,0.20249939
,0.148208618,-1.55380249,-0.610107422
,0.198913574,-0.913223267,-0.341674805
,-0.311721802,-0.701049805,-0.281723022
,,,
,,,
,-0.441207886,-1.70866394,-0.579483032
,0.002639771,-0.848480225,-0.131057739
,-0.054931641,-0.235641479,-0.051651001
,0.017791748,-1.21711731,0.066482544
,0.254318237,-1.322814941,-0.527603149
,0.064682007,-0.943054199,-0.399551392
,,,
,-0.588272095,-1.885635376,-0.715042114
,0.102279663,-0.375183105,-0.177368164
,-0.118545532,-0.245864868,-0.129150391
,0.340911865,-1.61151123,-0.27494812
,0.223648071,-1.220199585,-0.46081543
,-0.12512207,-0.898239136,-0.2709198
,-0.35093689,-0.671112061,-0.417114258
,,,
,-0.144927979,-1.781692505,-0.846664429
,0.021621704,-0.432693481,-0.28137207
,-0.14251709,-0.363983154,-0.137329102
,0.158203125,-1.249572754,0.073898315
,0.292419434,-1.562545776,-0.468719482
,-0.129501343,-0.785797119,-0.428283691
,-0.293548584,-0.743484497,-0.341781616
,,,
,-0.032485962,-1.204986572,-0.697311401
,-0.315612793,-0.624252319,-0.387466431
,-0.038818359,-0.237747192,0.092391968
,-0.085968018,-1.077728271,0.041900635
,0.197357178,-1.38369751,-0.671981812
,0.131622314,-0.967254639,-0.568725586
,-0.193252563,-0.764602661,-0.332092285
,,,
,-0.193283081,-1.35269165,-0.724685669
,0.04624939,-0.747741699,-0.096847534
,0.167053223,-0.465637207,0.000839233
,-0.00680542,-0.893234253,0.136566162
,0.345535278,-1.270401001,-0.488433838
,0.233978271,-0.963562012,-0.556091309
,0.009414673,-0.916900635,-0.329177856
,-0.085205078,-0.843933105,-0.291641235
,,,
,-0.107650757,-1.711898804,-0.97996521
,0.008911133,-0.083724976,-0.132629395
,-0.009994507,-0.548431396,-0.223358154
,0.297012329,-1.574462891,-0.634002686
,0.176513672,-0.943511963,-0.479873657
,-0.223297119,-0.719787598,-0.283843994
,,,
,0.064880371,-1.236083984,-0.330062866
,-0.16394043,-0.989898682,-0.185974121
,-0.070022583,-0.453735352,0.038589478
,-0.173690796,-0.804962158,0.043304443
,0.205978394,-1.362945557,-0.387924194
,0.260040283,-1.140838623,-0.665542603
,-0.277145386,-0.72857666,-0.206726074
,,,
,-0.156982422,-1.396255493,-0.302307129
,-0.002090454,-0.530288696,-0.183074951
,-0.063781738,-0.493988037,-0.130493164
,-0.046066284,-0.750823975,0.11869812
,0.154983521,-1.267196655,-0.052261353
,0.215805054,-1.211715698,-0.313430786
,-0.070907593,-0.812103271,-0.224609375
,,,
,-0.065704346,-1.285568237,-0.340911865
,-0.204071045,-1.141342163,-0.243347168
,-0.009628296,-0.477416992,-0.057266235
,-0.160430908,-0.532089233,0.063735962
,0.285903931,-1.422546387,-0.327529907
,0.247848511,-1.436248779,-0.430831909
,-0.064163208,-0.736984253,-0.142532349
,-0.315170288,-0.80696106,-0.297897339
,,,
,0.074523926,-1.151199341,-0.173248291
,-0.041717529,-1.319122314,-0.482894897
,0.046417236,-0.513198853,-0.098709106
,0.056808472,-0.667160034,0.016311646
,-0.102584839,-0.782546997,0.140396118
,0.095703125,-1.515441895,-0.290985107
,0.468887329,-1.077713013,-0.16255188
,-0.249069214,-0.84979248,-0.251342773
,-0.319229126,-0.782287598,-0.096405029
,,,
,0.053710938,-0.98260498,-0.385925293
,-0.202972412,-1.452514648,-0.499053955
,-0.09135437,-0.691345215,-0.153671265
,-0.022949219,-0.445266724,0.019378662
,0.059753418,-0.799468994,0.113555908
,0.165420532,-1.500305176,-0.406616211
,0.30128479,-1.168029785,-0.375518799
,-0.195861816,-0.880249023,-0.326293945
,-0.293182373,-0.840393066,-0.084487915
,,,
,0.039352417,-0.850234985,-0.260604858
,-0.208572388,-1.240722656,-0.526138306
,0.001281738,-0.465103149,-0.005096436
,-0.187225342,-0.506713867,-0.047271729
,-0.191726685,-1.318206787,-0.112060547
,0.252258301,-1.198822021,-0.140350342
,0.056518555,-1.141372681,-0.498199463
,-0.369857788,-0.728256226,-0.397659302
,,,
,-0.100845337,-1.215255737,-0.097671509
,-0.36177063,-0.843338013,-0.292709351
,0.028579712,-0.281036377,-0.024429321
,0.042434692,-0.87387085,0.010528564
,0.34072876,-1.390975952,-0.366134644
,0.266448975,-1.012359619,-0.623580933
,-0.133529663,-0.835540771,-0.281646729
,-0.194503784,-0.783248901,-0.294784546
,,,
,-0.467529297,-1.978439331,-0.571075439
,-0.007080078,-0.786315918,-0.273773193
,0.022949219,-0.455841064,-0.168609619
,-0.030380249,-0.83782959,0.182785034
,0.43548584,-1.547912598,-0.250411987
,0.337081909,-1.211807251,-0.486175537
,-0.260147095,-0.75769043,-0.286651611
,-0.211242676,-0.795059204,-0.199951172
,,,
,-0.421081543,-1.441619873,-0.244796753
,-0.203567505,-0.983459473,-0.446075439
,-0.080917358,-0.412200928,0.082641602
,-0.084533691,-0.659103394,0.110626221
,0.236450195,-1.553619385,-0.406616211
,0.521728516,-1.069549561,-0.604232788
,-0.175521851,-0.769515991,-0.381530762
,-0.167205811,-0.87878418,-0.140396118
