J,X,Y,Z
,0.085510254,-0.829528809,-0.592773438
,0.321868896,-1.204223633,-1.471725464
,-0.169219971,0.039611816,0.864685059
,0.613174438,0.826248169,-2.220413208
,-0.063980103,0.401290894,-2.027297974
,-0.490020752,0.042175293,0.732406616
,-0.526885986,-0.15461731,-0.249313354
,0.590377808,-0.989608765,-0.057373047
,,,
,0.084625244,-0.97543335,-0.144577026
,0.04536438,-0.531341553,0.343460083
,0.48286438,0.100097656,-1.809967041
,-0.272232056,0.456344604,-1.725143433
,0.078643799,-0.690826416,-0.369812012
,-1.023651123,-0.563659668,-0.722183228
,0.898498535,-1.044692993,-0.293457031
,0.11416626,-0.89906311,-0.100738525
,,,
,-0.068634033,-0.79888916,-0.110153198
,-0.087936401,-0.06817627,-0.10357666
,0.678527832,0.002227783,-2.801040649
,-0.251953125,0.287750244,-0.789154053
,-0.313308716,-0.330581665,0.138504028
,0.473815918,0.060882568,-0.771362305
,0.50440979,-0.827011108,-0.213562012
,,,
,0.009674072,-1.005020142,-0.320785522
,-0.167617798,-0.312728882,0.658660889
,0.393280029,0.352325439,-2.149261475
,-0.002456665,0.426818848,-2.017242432
,0.121337891,-0.405029297,-0.312911987
,-1.259933472,-0.132354736,-0.832733154
,1.221420288,-1.202819824,-0.332397461
,,,
,-0.11479187,-0.800674438,-0.005874634
,0.136672974,-0.133361816,0.313034058
,0.771850586,0.271255493,-2.688644409
,-0.306091309,-0.004501343,-0.138153076
,-0.087585449,-0.285842896,0.558410645
,-1.136947632,-0.150985718,-0.463973999
,1.030654907,-1.031799316,-0.338562012
,,,
,-0.157974243,-0.634399414,0.411514282
,0.416366577,0.753128052,-1.27494812
,0.440917969,0.618774414,-2.596847534
,-0.089645386,-0.4790802,-0.091186523
,-0.197143555,-0.09487915,-1.025894165
,0.6040802,-0.957138062,-0.11907959
,,,
,-0.096832275,-0.937927246,0.06678772
,0.157196045,-0.112976074,0.359985352
,0.267318726,0.065704346,-2.468841553
,-0.44468689,0.399169922,0.073898315
,-0.033111572,-0.696777344,-0.09828186
,-1.403610229,0.027542114,-0.407455444
,1.22052002,-1.051925659,-0.221588135
,,,
,-0.00100708,-0.83265686,0.103347778
,0.292205811,0.087905884,0.438583374
,0.290054321,0.402664185,-2.529251099
,-0.197402954,0.187942505,-0.022659302
,-1.021743774,-0.427246094,-0.145812988
,1.34262085,-0.391403198,-0.547943115
,0.352233887,-0.847473145,0.036468506
,,,
,-0.017547607,-0.961883545,-0.164871216
,-0.019775391,-0.390594482,0.521011353
,0.426361084,0.870162964,-2.453079224
,0.052932739,0.774856567,-1.519561768
,-0.03352356,-0.488510132,0.240646362
,-0.732467651,-0.107711792,-0.823379517
,0.825897217,-1.003921509,-0.68522644
,,,
,-0.011413574,-0.825195313,0.044967651
,-0.042617798,-0.029022217,0.567749023
,0.664611816,0.34765625,-3.837417603
,-0.422592163,-0.044387817,0.145370483
,-1.175735474,-0.167495728,-0.274017334
,1.481002808,-0.658676147,-0.655212402
,0.438430786,-0.728820801,0.09854126
,,,
,-0.219467163,-0.612243652,0.177841187
,0.239578247,0.435577393,-0.099807739
,0.857223511,0.71697998,-2.311004639
,-0.32762146,-0.085388184,-0.052734375
,-1.150604248,-0.360427856,-0.828216553
,1.545593262,-0.836761475,0.187149048
,0.498428345,-0.638198853,-0.243438721
,,,
,-0.064956665,-0.852676392,0.155502319
,0.063323975,0.053665161,0.444107056
,0.372848511,0.577758789,-2.678710938
,-0.166442871,0.736419678,-0.437927246
,-0.919387817,-0.522369385,-0.028503418
,-0.235229492,-0.249542236,-0.493377686
,0.648147583,-0.765106201,-0.41746521
,,,
,-0.045227051,-0.893173218,0.262252808
,0.033843994,-0.280410767,0.969512939
,0.704742432,-0.287872314,-2.186538696
,0.421508789,0.659240723,-1.546676636
,-0.578094482,-0.336791992,0.18939209
,-1.130722046,-0.177383423,-0.764633179
,1.022613525,-0.982223511,-0.483001709
,,,
,-0.151321411,-0.499069214,0.489868164
,0.461532593,0.6459198,-1.094116211
,0.523605347,0.685531616,-2.251434326
,-0.456069946,-0.35824585,0.421646118
,-1.428131104,-0.313476563,-0.546875
,0.995361328,-0.986907959,-0.543029785
,0.499984741,-0.879333496,-0.08631897
,,,
,-0.123748779,-0.939025879,0.082519531
,0.081115723,-0.25668335,0.469711304
,0.235748291,0.543746948,-2.383712769
,0.309082031,0.86390686,-0.893707275
,-1.096130371,-0.100891113,-0.257293701
,-0.866882324,-0.092514038,-0.602371216
,0.979492188,-1.011520386,-0.271408081
,,,
,-0.078552246,-0.929077148,-0.196868896
,0.164611816,-0.03515625,0.075820923
,0.398025513,0.348876953,-3.414459229
,-0.242431641,0.462722778,0.040390015
,-1.54385376,-0.17880249,-0.640457153
,1.301254272,-0.951019287,-0.537658691
,0.314163208,-0.849349976,-0.119308472
,,,
,0.032562256,-1.051757813,0.11781311
,0.089675903,-0.532440186,0.326293945
,0.354782104,0.40057373,-1.865219116
,0.201583862,0.756881714,-2.134185791
,-0.221450806,-0.681488037,0.08392334
,-0.86177063,-0.415985107,-0.873123169
,1.062286377,-0.916595459,-0.43359375
,,,
,0.043029785,-1.101593018,-0.1459198
,0.325241089,-0.20904541,0.323318481
,0.246383667,0.415008545,-3.228164673
,-0.300170898,0.823730469,-0.117935181
,-0.720703125,-0.634277344,-0.075790405
,0.213104248,-0.528137207,-0.133636475
,0.566207886,-0.912078857,0.052444458
,,,
,0.043029785,-1.101593018,-0.1459198
,0.325241089,-0.20904541,0.323318481
,0.246383667,0.415008545,-3.228164673
,-0.300170898,0.823730469,-0.117935181
,-0.720703125,-0.634277344,-0.075790405
,0.213104248,-0.528137207,-0.133636475
,0.566207886,-0.912078857,0.052444458
,,,
,0.065765381,-1.017807007,-0.116134644
,-0.091720581,-0.525863647,0.416946411
,0.587799072,0.706588745,-2.185028076
,-0.058456421,0.872680664,-2.605560303
,-0.25390625,-0.514022827,0.384643555
,-1.505386353,-0.402252197,-0.55039978
,1.276321411,-0.927261353,-1.252441406
