T,X,Y,Z
,-0.340789795,-0.989425659,-0.113311768
,-0.30279541,-0.932327271,-0.083358765
,0.677810669,-1.024078369,-0.414382935
,0.494369507,-0.869567871,-0.062866211
,-0.345031738,-0.443649292,-0.078918457
,0.147659302,-1.565063477,-0.71472168
,0.234191895,-0.999633789,-0.407058716
,,,
,-0.321853638,-1.118530273,-0.126083374
,-0.49105835,-0.764419556,-0.033920288
,0.848190308,-1.047286987,-0.035430908
,0.321060181,-0.866546631,0.05128479
,-0.472290039,-0.770401001,-0.124099731
,-0.130187988,-0.807296753,0.06362915
,0.288208008,-1.356277466,-0.463180542
,,,
,-0.316268921,-0.9296875,-0.135116577
,-0.253509521,-0.898178101,-0.078399658
,0.597290039,-1.072525024,-0.040664673
,0.194046021,-1.048919678,-0.217254639
,-0.18397522,-0.481399536,-0.019226074
,0.022674561,-1.312774658,-0.214019775
,0.030654907,-1.133865356,-0.214538574
,,,
,0.042678833,-0.998550415,0.071334839
,-0.435470581,-0.862579346,0.002243042
,0.624786377,-1.117034912,-0.071044922
,0.215042114,-0.901168823,-0.161987305
,-0.302902222,-0.383895874,-0.081756592
,0.053192139,-1.270065308,-0.125061035
,0.064834595,-1.110977173,-0.451080322
,,,
,-0.24810791,-0.823654175,-0.040344238
,-0.324874878,-0.847930908,-0.016494751
,0.747741699,-1.23576355,-0.00390625
,0.075485229,-0.920318604,-0.054397583
,-0.277359009,-0.65965271,-0.148529053
,0.09173584,-1.225036621,-0.140472412
,,,
,-0.24810791,-0.823654175,-0.040344238
,-0.324874878,-0.847930908,-0.016494751
,0.747741699,-1.23576355,-0.00390625
,0.075485229,-0.920318604,-0.054397583
,-0.277359009,-0.65965271,-0.148529053
,0.09173584,-1.225036621,-0.140472412
,,,
,-0.332870483,-1.023666382,-0.146484375
,0.012573242,-0.922485352,-0.155578613
,0.71496582,-1.060012817,-0.194213867
,-0.1381073,-0.900588989,-0.033538818
,-0.209442139,-0.755187988,0.183441162
,-0.006103516,-1.17024231,-0.382080078
,0.128128052,-1.019790649,-0.321395874
,,,
,-0.390197754,-0.936553955,0.0521698
,-0.277038574,-0.787277222,-0.171218872
,0.898849487,-1.076873779,0.032867432
,0.394790649,-0.886291504,-0.022125244
,-0.260650635,-0.563232422,-0.02897644
,0.008255005,-1.134674072,-0.074630737
,-0.019790649,-1.214035034,-0.239074707
,,,
,-0.453231812,-1.184677124,-0.127059937
,0.283721924,-0.915710449,0.18536377
,0.523635864,-1.099899292,-0.068954468
,-0.399490356,-0.648025513,0.122085571
,0.1328125,-1.058807373,0.105804443
,-0.015869141,-1.292724609,-0.250808716
,,,
,-0.222549438,-0.991241455,-0.030731201
,-0.051177979,-0.892608643,0.021820068
,0.663314819,-1.112930298,-0.1587677
,-0.268600464,-0.822952271,-0.05519104
,-0.172653198,-0.82963562,-0.035675049
,-0.166656494,-1.339691162,-0.221221924
,,,
,-0.503845215,-0.956237793,-0.085769653
,-0.362533569,-0.775802612,-0.134628296
,0.969711304,-1.149215698,-0.17956543
,-0.109832764,-0.695617676,-0.008087158
,-0.131271362,-1.083480835,-0.014907837
,0.064651489,-1.326293945,-0.321548462
,,,
,-0.48928833,-1.032608032,-0.258605957
,0.156616211,-0.877075195,0.273483276
,0.695495605,-1.061660767,-0.379592896
,-0.224273682,-0.445770264,-0.085952759
,0.14932251,-1.34085083,-0.495361328
,0.345443726,-1.049713135,-0.215042114
,,,
,-0.369018555,-0.926055908,-0.062606812
,-0.136138916,-0.847259521,-0.040985107
,0.591110229,-1.153167725,0.21484375
,-0.038772583,-0.833602905,0.068725586
,-0.000823975,-0.623657227,-0.069213867
,-0.124649048,-1.462738037,-0.387634277
,0.030517578,-1.066894531,-0.245666504
,,,
,-0.022109985,-1.016616821,-0.054840088
,-0.699035645,-0.712203979,-0.103515625
,0.963638306,-1.186309814,-0.11151123
,-0.301193237,-0.5105896,-0.077362061
,-0.079650879,-1.013687134,-0.107666016
,0.12512207,-1.276123047,-0.268676758
,,,
,-0.052429199,-0.989151001,-0.032669067
,-0.615478516,-0.720275879,-0.085174561
,0.959899902,-1.180114746,-0.271102905
,-0.120254517,-0.704925537,0.038574219
,-0.103408813,-0.75592041,-0.11076355
,0.105773926,-1.479721069,-0.376998901
,,,
,0.094543457,-1.032821655,0.065551758
,-0.442565918,-1.024642944,-0.007904053
,0.423751831,-0.922409058,0.144790649
,0.356033325,-0.962402344,-0.095993042
,-0.344039917,-0.301956177,0.123321533
,0.085968018,-1.463943481,-0.60710144
,0.09161377,-1.086654663,-0.184143066
,,,
,0.007354736,-1.006256104,-0.048873901
,-0.982620239,-0.940628052,-0.010635376
,1.211074829,-1.148620605,-0.251815796
,-0.193099976,-0.682449341,-0.093429565
,-0.025390625,-1.230804443,0.001342773
,0.174453735,-1.237457275,-0.299179077
,,,
,0.005081177,-1.026809692,0.029067993
,-0.700668335,-0.511413574,0.034011841
,1.031204224,-1.108901978,-0.544906616
,-0.377105713,-0.291351318,0.036529541
,0.177978516,-1.459533691,-0.398986816
,0.011535645,-1.145828247,-0.271026611
,,,
,-0.441085815,-1.00402832,-0.251159668
,0.629470825,-0.963378906,0.092376709
,-0.010879517,-0.856567383,-0.222549438
,-0.186019897,-0.867645264,0.065155029
,0.122909546,-1.498703003,-0.366668701
,,,
,-0.140716553,-1.01902771,-0.148300171
,0.135818481,-0.713363647,0.285079956
,0.092758179,-0.896835327,-0.376953125
,-0.162109375,-0.995361328,0.091079712
,-0.042724609,-1.252914429,-0.266342163
