C,X,Y,Z
,0.146652222,-0.580886841,-0.188217163
,-0.089599609,-0.462860107,-1.701217651
,-0.664886475,-0.4115448,-0.959671021
,-0.424194336,-0.256195068,0.051498413
,0.579162598,-0.916427612,-0.362014771
,0.242523193,-1.02331543,-0.469726563
,,,
,0.740707397,-1.352874756,-0.156661987
,0.254455566,-0.398345947,0.00819397
,-0.744155884,-0.709152222,-0.17779541
,-0.750427246,-0.57484436,-0.952484131
,-0.122421265,-0.628463745,-1.221969604
,0.203475952,-0.69821167,-0.352142334
,,,
,0.742431641,-1.264373779,-0.212356567
,0.230270386,-0.410644531,-0.017059326
,-0.591323853,-0.75630188,-0.035705566
,-0.107666016,-1.114486694,-0.422439575
,0.369750977,-1.067077637,-0.671966553
,0.072311401,-0.855316162,-0.199645996
,,,
,1.085525513,-1.501296997,-0.45362854
,0.425949097,-0.467132568,0.028091431
,-0.384902954,-0.556213379,-0.23487854
,-0.947128296,-1.171905518,-0.490783691
,-0.139434814,-1.122024536,-0.419586182
,0.188461304,-0.879348755,-0.236236572
,,,
,0.604232788,-1.155715942,-0.036453247
,0.159973145,-0.564437866,0.03326416
,-0.637481689,-0.832992554,-0.306152344
,-0.704391479,-0.897399902,-0.988952637
,0.134658813,-0.975540161,-0.65385437
,0.073989868,-0.828552246,-0.12713623
,,,
,0.984375,-1.227050781,-0.269561768
,0.300354004,-0.261398315,-0.040039063
,-0.649887085,-0.714508057,-0.715408325
,-0.503677368,-1.103820801,-0.999298096
,0.302566528,-0.756988525,-0.574203491
,0.073318481,-0.79850769,-0.500869751
,,,
,0.833816528,-1.333374023,-0.056610107
,0.244628906,-0.389663696,0.066574097
,-0.758087158,-0.694885254,-0.265548706
,-1.060165405,-0.98979187,-0.328872681
,-0.176437378,-1.005126953,-0.818771362
,0.084899902,-0.886062622,-0.410552979
,,,
,0.902923584,-0.989837646,-0.037841797
,0.005340576,-0.354614258,-0.278198242
,-0.45223999,-0.94190979,-0.467727661
,-0.000335693,-1.179458618,-0.633834839
,0.204116821,-0.918289185,-0.46484375
,0.138702393,-0.869369507,-0.291671753
,,,
,0.870895386,-1.052902222,-0.019790649
,0.453063965,-0.536254883,-0.013778687
,-0.307662964,-0.561737061,0.000106812
,-0.463699341,-0.890853882,-0.580383301
,-0.450057983,-0.869995117,-0.87550354
,0.145675659,-0.775039673,-0.789993286
,,,
,0.94833374,-1.06350708,-0.359115601
,0.624023438,-0.621032715,-0.133987427
,-0.174911499,-0.339569092,-0.160339355
,-0.755767822,-0.780471802,-0.762954712
,0.011108398,-0.985015869,-1.178833008
,0.40473938,-0.648300171,-0.522094727
,,,
,1.102462769,-0.966873169,-0.118392944
,0.219802856,-0.407440186,0.081390381
,-0.765426636,-0.415374756,-0.669082642
,-0.360076904,-0.717269897,-1.032974243
,0.289245605,-0.617340088,-0.728652954
,,,
,1.101989746,-0.693557739,0.004653931
,0.282470703,-0.546691895,-0.003356934
,-0.3800354,-0.377365112,-0.291717529
,-0.074356079,-1.058654785,-1.274932861
,0.401473999,-0.923065186,-0.804931641
,0.330047607,-0.751876831,-0.290130615
,,,
,0.861877441,-1.258529663,-0.238174438
,0.374450684,-0.516967773,-0.117172241
,-0.151733398,-0.569107056,0.051254272
,-0.226013184,-0.788543701,-1.234771729
,0.305221558,-0.468551636,-1.499130249
,0.469055176,-0.470367432,-1.02204895
,0.270782471,-0.763916016,-0.414749146
,,,
,0.527954102,-1.269317627,0.001342773
,0.419326782,-0.671859741,0.071731567
,-0.177200317,-0.574523926,0.040344238
,-0.176849365,-0.848892212,-0.700393677
,0.320053101,-0.897415161,-0.838394165
,0.107284546,-0.853729248,-0.789047241
,0.141418457,-0.768936157,-0.298812866
,0.013809204,-0.934799194,-0.272766113
,,,
,0.699874878,-1.351516724,-0.322937012
,0.446685791,-0.487350464,-0.016464233
,-0.265151978,-0.745803833,-0.037307739
,-0.524368286,-0.881912231,-0.13621521
,-0.118804932,-1.223464966,-0.483322144
,0.261169434,-0.91317749,-0.349990845
,,,
,0.479217529,-1.08531189,0.08416748
,0.612258911,-0.566116333,-0.003128052
,0.066390991,-0.666381836,-0.131820679
,-0.253448486,-1.082672119,-0.094161987
,-0.483459473,-1.081497192,0.074401855
,-0.104934692,-1.137390137,-0.516387939
,0.19732666,-0.916793823,-0.264373779
,-0.055053711,-0.98500061,-0.09602356
,,,
,0.539199829,-1.089080811,-0.100784302
,0.343994141,-0.69744873,0.057937622
,0.006591797,-0.742523193,-0.031967163
,-0.355911255,-0.950378418,-0.269302368
,0.034744263,-1.29927063,-0.548171997
,0.047027588,-1.027755737,-0.251831055
,,,
,0.5390625,-1.103561401,-0.254562378
,0.309631348,-0.82409668,0.036376953
,-0.025527954,-0.616531372,0.041564941
,-0.559463501,-0.807296753,0.017150879
,-0.353286743,-1.171981812,-0.474243164
,0.179885864,-1.151245117,-0.491165161
,0.158477783,-0.923446655,-0.26373291
,,,
,0.506393433,-1.178939819,0.010147095
,0.38369751,-0.745605469,-0.10774231
,-0.099395752,-0.647720337,0.072845459
,-0.664962769,-1.116241455,-0.476608276
,-0.112747192,-1.102523804,-0.089202881
,0.113037109,-1.225509644,-0.491027832
,0.136749268,-0.900512695,-0.263244629
,,,
,0.574813843,-1.074142456,-0.082550049
,0.19203186,-0.616500854,-0.017410278
,-0.511672974,-0.888442993,-0.244888306
,-0.507553101,-0.896026611,-0.590057373
,-0.209747314,-1.11328125,-0.34413147
,0.014083862,-0.865814209,-0.462615967
