P,X,Y,Z
,-0.038879395,-1.116760254,-0.236068726
,-0.018432617,-1.19303894,-0.295410156
,-0.244995117,-0.508834839,0.048400879
,-0.037490845,-0.629974365,0.237548828
,0.531539917,-0.930099487,0.188064575
,0.114837646,-1.332565308,-0.481750488
,-0.081954956,-1.060043335,-0.159454346
,,,
,0.056350708,-0.919937134,-0.283813477
,-0.122314453,-1.316238403,-0.27456665
,-0.117660522,-0.539627075,-0.024368286
,-0.118835449,-0.538101196,0.125961304
,0.473205566,-1.118377686,0.235900879
,-0.004440308,-1.23085022,-0.381851196
,,,
,0.036071777,-0.737792969,-0.308700562
,-0.084960938,-1.518493652,-0.192749023
,-0.142288208,-0.982620239,-0.157318115
,-0.247924805,-0.481704712,-0.009887695
,0.552688599,-0.784683228,0.117416382
,0.118453979,-1.307449341,-0.158309937
,-0.27633667,-1.043014526,-0.194137573
,,,
,0.018096924,-1.406723022,-0.608612061
,-0.053695679,-1.021484375,-0.262695313
,-0.157318115,-0.529525757,0.125701904
,0.412200928,-0.683990479,0.1902771
,0.180541992,-1.344833374,-0.221694946
,-0.204681396,-1.015991211,-0.340637207
,,,
,-0.087127686,-1.185424805,-0.20602417
,-0.300689697,-1.109359741,-0.46812439
,-0.284912109,-0.65977478,-0.136886597
,0.354705811,-0.640701294,0.186859131
,0.419525146,-1.076629639,-0.08152771
,-0.327789307,-1.010528564,-0.389221191
,,,
,0.025588989,-0.983398438,-0.344787598
,-0.309051514,-1.399887085,-0.569946289
,-0.280502319,-0.732223511,-0.246444702
,0.053359985,-0.561065674,0.218795776
,0.401031494,-1.068664551,0.147216797
,-0.054885864,-1.117492676,-0.144607544
,,,
,0.057357788,-0.907974243,-0.310424805
,-0.107666016,-1.436203003,-0.572845459
,-0.264389038,-0.640762329,-0.162826538
,0.349380493,-0.668777466,0.069396973
,0.257003784,-1.239151001,-0.159835815
,0.007171631,-1.082214355,-0.373382568
,,,
,-0.062011719,-1.158889771,-0.331298828
,-0.253677368,-0.978851318,-0.3802948
,-0.116577148,-0.608840942,0.128234863
,0.418441772,-0.940994263,0.065597534
,0.102722168,-1.079025269,-0.223312378
,,,
,0.06539917,-0.980636597,-0.275634766
,0.070678711,-0.981735229,-0.24029541
,-0.11630249,-1.234329224,-0.390548706
,-0.390762329,-0.541503906,-0.097091675
,0.568237305,-0.811584473,0.023468018
,-0.050064087,-1.182449341,-0.316894531
,-0.043884277,-0.965286255,-0.295822144
,,,
,0.201171875,-1.426986694,-0.473922729
,-0.185256958,-0.918960571,-0.309753418
,-0.117980957,-0.543579102,-0.125839233
,0.512634277,-0.861618042,0.216262817
,-0.053924561,-1.179229736,-0.133865356
,,,
,-0.052459717,-1.238494873,-0.318557739
,-0.201980591,-1.18359375,-0.221572876
,-0.348709106,-0.572814941,-0.101333618
,0.302993774,-0.585968018,0.082092285
,0.496307373,-1.164367676,0.055755615
,-0.197219849,-1.206390381,-0.088699341
,,,
,-0.015319824,-0.939071655,-0.321884155
,0.023239136,-1.394882202,-0.429718018
,0.485488892,-0.851913452,-0.085830688
,-0.199829102,-0.461425781,0.1144104
,-0.021224976,-1.042129517,-0.124710083
,0.139877319,-1.391830444,-0.60987854
,,,
,0.061294556,-1.007095337,-0.314071655
,-0.156906128,-1.359741211,-0.377258301
,-0.164291382,-0.787734985,-0.351226807
,0.168487549,-0.576126099,0.136230469
,0.43182373,-1.181304932,-0.019226074
,-0.236801147,-1.109344482,-0.223403931
,,,
,0.123504639,-1.436523438,-0.375183105
,-0.198425293,-0.832901001,-0.220901489
,0.002029419,-0.440414429,0.06803894
,0.538116455,-1.022140503,0.149871826
,-0.103103638,-1.244476318,-0.383102417
,-0.088378906,-0.856658936,-0.214447021
,,,
,0.2159729,-1.189544678,-0.186157227
,-0.022186279,-1.192108154,-0.190734863
,-0.278503418,-0.692672729,-0.016830444
,0.205657959,-0.5287323,0.356170654
,0.358139038,-1.2240448,-0.087432861
,-0.085037231,-1.102661133,-0.339157104
,,,
,0.051544189,-0.965866089,-0.307601929
,-0.168746948,-1.33921814,-0.474136353
,-0.249710083,-0.602859497,-0.253448486
,0.446868896,-0.682754517,0.282333374
,0.14730835,-1.187454224,-0.321456909
,,,
,0.167282104,-1.469329834,-0.404159546
,-0.202133179,-0.804382324,-0.188156128
,-0.001663208,-0.403900146,0.221099854
,0.470046997,-1.169067383,-0.066589355
,-0.207275391,-0.93762207,-0.221542358
,,,
,0.186553955,-1.718688965,-0.614822388
,-0.269302368,-0.666503906,-0.412994385
,0.358520508,-0.581954956,0.142532349
,0.309509277,-1.296234131,-0.381866455
,-0.044509888,-1.027282715,-0.457077026
,,,
,0.257369995,-1.35697937,-0.581176758
,-0.342956543,-0.641235352,-0.192459106
,0.026733398,-0.358566284,0.145233154
,0.611099243,-1.121124268,0.074310303
,-0.147491455,-1.054473877,-0.179779053
,,,
,0.061721802,-1.725830078,-0.410018921
,-0.22883606,-0.580352783,-0.210708618
,0.23614502,-0.582855225,0.187988281
,0.218765259,-1.293029785,-0.371459961
,-0.061981201,-1.053482056,-0.525909424
