U,X,Y,Z
,0.077865601,-0.512878418,0.065582275
,-0.263259888,-0.868896484,-0.557403564
,0.349380493,-1.538818359,-0.741867065
,0.065429688,-0.594772339,-0.12612915
,,,
,0.023727417,-0.735961914,0.028167725
,-0.341339111,-0.611633301,0.099822998
,-0.48274231,-1.307006836,-0.703063965
,0.481048584,-1.192230225,-0.643615723
,0.071121216,-0.652374268,0.067016602
,,,
,0.066055298,-0.827362061,-0.03163147
,-0.441146851,-0.777954102,-0.093322754
,0.232803345,-1.901794434,-1.199493408
,0.224395752,-0.775161743,-0.09992981
,-0.006790161,-0.839782715,-0.079986572
,,,
,-0.112670898,-0.763656616,0.115585327
,-0.629608154,-0.918502808,-0.359359741
,0.447250366,-1.381469727,-0.557281494
,0.046020508,-0.651016235,-0.092147827
,,,
,-0.064300537,-0.726531982,-0.026397705
,-0.24899292,-1.215499878,-0.329101563
,0.252227783,-1.190872192,-0.80909729
,0.080047607,-0.708282471,0.09703064
,,,
,-0.062225342,-0.685348511,0.02243042
,-0.530578613,-0.958358765,-0.616607666
,0.500183105,-1.341094971,-0.961837769
,0.191726685,-0.738937378,-0.306854248
,,,
,0.051605225,-0.364059448,0.057952881
,-0.151016235,-1.24710083,-0.659057617
,0.369537354,-1.172775269,-0.715515137
,0.104171753,-0.532440186,0.065582275
,,,
,-0.13319397,-0.773422241,-0.062896729
,-0.631362915,-1.21647644,-0.672515869
,0.407119751,-1.01121521,-0.899017334
,0.139465332,-0.627746582,-0.011749268
,,,
,-0.195449829,-0.774154663,-0.053573608
,-0.150100708,-0.727844238,-0.334091187
,0.566314697,-1.3125,-1.322525024
,0.32170105,-0.664474487,-0.206390381
,,,
,-0.055419922,-0.63494873,0.026367188
,-0.373855591,-0.964920044,-0.582611084
,0.144226074,-1.277114868,-0.681808472
,0.297225952,-0.740203857,-0.325759888
,,,
,0.027313232,-0.849609375,0.003158569
,0.029342651,-0.608963013,-0.105072021
,0.064788818,-1.37512207,-0.724777222
,0.16973877,-0.728225708,-0.003570557
,,,
,-0.051940918,-0.84274292,-0.017944336
,-0.158248901,-0.795822144,-0.073852539
,0.298233032,-1.475662231,-0.812316895
,0.228469849,-0.760452271,-0.237197876
,,,
,-0.100799561,-0.627243042,0.136642456
,-0.188964844,-1.37260437,-0.728378296
,0.276000977,-0.810348511,-0.282714844
,,,
,0.085983276,-0.588088989,-0.061508179
,-0.118515015,-1.097915649,-0.306991577
,0.165023804,-1.310501099,-0.901306152
,0.105834961,-0.684387207,-0.2081604
,,,
,-0.092758179,-0.698120117,0.072219849
,-0.213607788,-1.037322998,-0.647857666
,0.291717529,-1.057006836,-0.774993896
,,,
,-0.021820068,-0.754684448,-0.033538818
,-0.320022583,-0.931137085,-0.362701416
,0.101104736,-1.310470581,-0.789916992
,0.213867188,-0.665847778,-0.393615723
,,,
,-0.006378174,-0.742996216,-0.08732605
,-0.120040894,-0.951171875,-0.258651733
,-0.054748535,-1.31463623,-0.614044189
,0.203201294,-0.910568237,-0.368103027
,0.059570313,-0.716522217,-0.107788086
,,,
,0.020202637,-0.87701416,-0.106918335
,-0.194595337,-0.826812744,-0.330032349
,-0.203796387,-1.152038574,-0.871917725
,0.172348022,-0.949783325,-0.692367554
,0.053771973,-0.784729004,-0.23135376
,,,
,0.066268921,-0.814758301,0.061035156
,-0.158401489,-0.7762146,-0.281967163
,-0.085098267,-1.192184448,-1.317474365
,0.1590271,-0.873428345,-0.549697876
,-0.002151489,-0.725204468,-0.06362915
,,,
,-0.02355957,-0.743408203,-0.224868774
,-0.191146851,-0.777679443,-0.191741943
,0.09777832,-1.288040161,-0.601791382
,0.278366089,-0.856567383,-0.341247559
,-0.003738403,-0.816299438,-0.212768555
